,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
462,2012,3,0,0,38.745,88.098,89.8052929320648,5500.0,
463,2012,3,0,0,39.383,81.307,89.8052929320648,36641.0,
465,2012,5,1,0,2.327,93.063,89.8052929320648,114.0,
466,2012,5,1,0,-1.315,120.096,89.8052929320648,7889.0,
467,2013,3,0,0,34.512,104.262,91.1207940325185,123982.0,
468,2013,3,0,0,28.2425,99.3502,91.1207940325185,538053.0,
469,2013,5,1,0,4.645,96.665,91.1207940325185,55983.0,
470,2013,0,2,0,34.526,70.22,91.1207940325185,3549.0,
473,2013,3,0,0,25.98,99.812,91.1207940325185,427740.0,
474,2013,3,0,0,30.308000000000003,102.888,91.1207940325185,2198983.0,
475,2013,3,0,0,44.5993,124.1681,91.1207940325185,58300.0,
476,2013,3,0,0,31.066,110.412,91.1207940325185,90500.0,
477,2013,3,0,0,25.953000000000007,99.782,91.1207940325185,80555.0,
478,2013,3,0,0,40.253,78.944,91.1207940325185,2000.0,
479,2013,5,1,0,4.927,95.907,91.1207940325185,516.0,
480,2013,5,1,0,5.1033,95.9709,91.1207940325185,2739.0,
482,2013,4,2,0,33.061,75.863,91.1207940325185,59353.0,
485,2012,7,1,0,23.005,95.885,89.8052929320648,1524.0,
489,2013,9,2,0,28.033,61.996,91.1207940325185,15216.0,
490,2013,9,2,0,26.951,65.5009,91.1207940325185,186148.0,
491,2013,9,2,0,27.1825,65.5052,91.1207940325185,72.0,
492,2014,3,0,0,27.1891,103.4086,92.59898057379341,1121244.0,
493,2014,3,0,0,35.9053,82.5864,92.59898057379341,450000.0,
494,2014,3,0,0,28.174,103.619,92.59898057379341,75021.0,
495,2014,3,0,0,24.974,97.844,92.59898057379341,225015.0,
496,2014,3,0,0,24.9997,97.845,92.59898057379341,184723.0,
497,2014,3,0,0,23.3834,100.4702,92.59898057379341,255325.0,
498,2014,3,0,0,30.3398,101.7374,92.59898057379341,82360.0,
499,2014,3,0,0,23.3577,100.533,92.59898057379341,2023.0,
500,2015,0,2,0,36.5244,70.3676,92.7088219860826,92840.0,
501,2015,0,2,0,36.4935,71.1263,92.7088219860826,407.0,
502,2015,1,2,0,28.2305,84.7314,92.7088219860826,204.0,
503,2015,3,0,0,44.133,85.568,92.7088219860826,8640.0,
504,2015,3,0,0,23.566,98.854,92.7088219860826,2032.0,
505,2015,3,0,0,28.2305,84.7314,92.7088219860826,207912.0,
506,2015,3,0,0,27.8087,86.0655,92.7088219860826,1.0,
507,2015,3,0,0,37.4593,78.1542,92.7088219860826,9266.0,
511,2016,1,2,0,24.804,93.65,93.878436484259,75.0,
520,2014,10,1,0,19.6557,99.6696,92.59898057379341,17524.0,
521,2015,6,1,0,5.987,116.541,92.7088219860826,34.0,
522,2015,8,2,0,28.2305,84.7314,92.7088219860826,5648553.0,
523,2015,8,2,0,27.8087,86.0655,92.7088219860826,2566.0,
524,2015,5,1,0,-0.621,131.262,92.7088219860826,12247.0,
525,2015,4,2,0,28.2305,84.7314,92.7088219860826,638.0,
526,2015,4,2,0,27.8087,86.0655,92.7088219860826,20.0,
527,2015,4,2,0,36.5244,70.3676,92.7088219860826,10.0,
529,2015,9,2,0,36.5244,70.3676,92.7088219860826,502870.0,
530,2015,9,2,0,36.4935,71.1263,92.7088219860826,88.0,
532,2016,5,1,0,-3.863,127.229,93.878436484259,368.0,
533,2016,4,2,0,24.804,93.65,93.878436484259,10816.0,
536,2016,9,2,0,36.473,71.13,93.878436484259,148.0,
537,1902,3,0,0,39.88,76.2,3.3918445425216,2500.0,
538,1905,3,0,0,29.3,104.8,3.5223001018494,0.0,
539,1906,3,0,0,43.5,85.5,3.5223001018494,10280.0,
540,1909,3,0,0,24.4,103.0,3.5223001018494,21.0,
542,2016,3,0,0,39.238,74.047,93.878436484259,37201.0,
543,2016,3,0,0,43.823,86.345,93.878436484259,9120.0,
544,2016,3,0,0,26.077,99.539,93.878436484259,5002.0,
547,2017,3,0,0,33.193000000000005,103.855,95.87816577449881,218354.0,
550,2017,3,0,0,29.833,94.978,95.87816577449881,23403.0,
551,2018,3,0,0,45.279,124.557,98.2199906178672,12000.0,
552,2018,3,0,0,24.332,102.941,98.2199906178672,18024.0,
554,2019,3,0,0,29.498,104.632,100.0,32774.0,
555,2019,3,0,0,28.405,104.957,100.0,244233.0,
557,1909,9,2,0,30.0,68.0,3.5223001018494,231.0,
558,2016,5,1,0,-8.218,117.816,93.878436484259,3410.0,
559,2016,5,1,0,5.2810000000000015,96.108,93.878436484259,86122.0,
560,2016,7,1,0,20.923,94.569,93.878436484259,1156.0,
567,2018,5,1,0,-8.287,116.452,98.2199906178672,517491.0,
568,2018,5,1,0,-7.1960000000000015,105.918,98.2199906178672,13812.0,
569,2018,5,1,0,-8.274,116.491,98.2199906178672,102866.0,
570,2018,5,1,0,-8.325,116.577,98.2199906178672,789.0,
